,Comment ID,Trust,Respondent ID,Date,Service type 1,Service type 2,FFT categorical answer,FFT question,FFT answer
567,NEAS S&C 2955 - Q2,NEAS,NEAS S&C 2955,10/12/2021,See and Convey,,1,How could we improve?,Nothing.
4062,NEAS S&C 4460 - Q2,NEAS,NEAS S&C 4460,05/05/2022,See and Convey,,1,How could we improve?,Nothing everything was top quality. 
135,NEAS PTS 939 - Q1,NEAS,NEAS PTS 939,31/01/2022,PTS  - Patient Transport,,1,FFT Why?,Nothing could have been better.
6236,NEAS S&C 2684 - Q2,NEAS,NEAS S&C 2684,29/11/2021,See and Convey,,1,How could we improve?,Really satisfied
3579,NEAS PTS 1326 - Q2,NEAS,NEAS PTS 1326,31/05/2022,PTS  - Patient Transport,,2,How could we improve?,"Because it was good and I appreciate getting home in good time, I don't mind waiting to go home from hospital as it's not too long and offered a cup of tea while waiting in discharge area."
2159,NEAS 111 1956 - Q2,NEAS,NEAS 111 1956,30/04/2022,111,,1,How could we improve?,Nurse very helpful and reassuring and gave information I needed.
5555,NHFT 1979 - Q2,NHFT,NHFT 1979,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What was good?,"Difficult to be objective at 99% of the time have received excellent care.
None, other than say many thanks for the NHS."
3598,NEAS PTS 1383 - Q2,NEAS,NEAS PTS 1383,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,Ambulance crew very patient and kind.
1890,NHFT 1651 - Q1,NHFT,NHFT 1651,10/05/2022,Local partnerships- MH,Adult mental health,1,What could we do better?,Can't think of anything. 
7512,NEAS PTS 1435 - Q2,NEAS,NEAS PTS 1435,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,Every one of the team are so caring. Always have a smile for you.
6919,NHFT 688 - Q1,NHFT,NHFT 688,30/09/2021,Forensic,High secure LD,3,What could we do better?,Sometimes the ward is too noisy.  Sometimes my routine changes and I find it hared to deal with. 
6797,NHFT 193 - Q1,NHFT,NHFT 193,07/07/2021,Local partnerships- MH,Adult mental health,1,What could we do better?,Went shop to get me coffee. 
303,NEAS PTS 1443 - Q1,NEAS,NEAS PTS 1443,31/05/2022,PTS  - Patient Transport,,1,FFT Why?,Nothing any better. I find everything's good.
7834,NEAS S&C 4247 - Q1,NEAS,NEAS S&C 4247,19/04/2022,See and Convey,,3,FFT Why?,Originally a ambulance was expected to take 12 hours but was reduced to 3 hours after being updated to a category 1 call still felt like a lifetime while in agony 
2363,NEAS 111 2711 - Q3,NEAS,NEAS 111 2711,30/09/2022,111,,2,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",I was told I would receive a call from a doctor within 1 hour. Then I got a call to say it would be hours and not. I waited 6 hours to speak to a doctor.
6892,NHFT 588 - Q1,NHFT,NHFT 588,21/09/2021,Local partnerships- MH,Mental health services for older people,2,What could we do better?,I think that under the circumstances the team have been working under the last 18 months (i.e. COVID) you couldn't have done better.  
2145,NEAS 111 1905 - Q1,NEAS,NEAS 111 1905,26/04/2022,111,,3,FFT Why?,Answer the phone quicker
3007,NEAS 111 1645 - Q1,NEAS,NEAS 111 1645,28/02/2022,111,,2,FFT Why?,You need more people answering the phones.
6108,NEAS 111 2521 - Q3,NEAS,NEAS 111 2521,16/08/2022,111,,4,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",The call operators were friendly.The call back time from health care provider was too late and missed. If I knew the extent of the time scale I may have looked for an alternative to be seen and get my pain under control.
1795,NHFT 1310 - Q1,NHFT,NHFT 1310,02/03/2022,Forensic,Offender health,3,What could we do better?,Mental Health. 
1702,NHFT 1105 - Q2,NHFT,NHFT 1105,24/12/2021,Community health services,North Notts,7,What was good?,Everything
3451,NEAS PTS 939 - Q2,NEAS,NEAS PTS 939,31/01/2022,PTS  - Patient Transport,,1,How could we improve?,Very friendly and pleasant attitude. Very helpful getting me in and out of the ambulance and into hospital and back out.
945,NEAS S&C 6177 - Q1,NEAS,NEAS S&C 6177,07/09/2022,See and Convey,,1,FFT Why?,Because the ambulance arrived within 2 mins and they crew were very attentive 
2189,NEAS 111 2066 - Q2,NEAS,NEAS 111 2066,31/05/2022,111,,2,How could we improve?,Helpful and understanding.
4277,NEAS S&C 6296 - Q2,NEAS,NEAS S&C 6296,9/14/2022,See and Convey,,1,How could we improve?,Nothing.  As they checked me out took me straight to hospital and made sure I was seen too before they left. 
7647,NEAS PTS 1846 - Q2,NEAS,NEAS PTS 1846,31/08/2022,PTS  - Patient Transport,,7,How could we improve?,"Almost all very good. Only one person was a little abrupt, maybe he had not been given the full extent of ****'s needs."
5993,NEAS 111 2096 - Q2,NEAS,NEAS 111 2096,31/05/2022,111,,1,How could we improve?,Staff very helpful.
1367,NHFT 1413 - Q1,NHFT,NHFT 1413,29/03/2022,Forensic,High secure LD,3,What could we do better?,"Going to court and tribunals.
Food"
2268,NEAS 111 2363 - Q2,NEAS,NEAS 111 2363,19/07/2022,111,,2,How could we improve?,"I had contacted NHS111 to ask about symptoms in the night, they told me I must be seen by my GP the same day, and that they would notify the practice. When I called Parkway Medical they had no record of this, and that NHS111 should have booked for me, so couldn’t give me a GP check and to go to a walk-in centre. As I had previously been admitted on an antibiotic drip for two days from RVI ambulatory care with the same symptoms, and had been told to be seen the same day by the GP, I was surprised the NHS111 had not notified the surgery. I called NHS111 to check if they had contacted the GP and that if I went to a walkin centre that they would have the necessary info from my call, and was told they would contact me. A person called back who informed me that this was just an emergency service, of which I am very aware, and had not requested a call back, just wanting to know if the info would be sent, as so far it had not been. The GP practice subsequently mentioned that they do not always receive notifications of calls, even for the same day so this had meant I had waited until the GP practice opened before being told to travel some distance to the walkin centre. I understood the service was to be used if the GP practice was not open and I had been following NHS directions to ring if GP practice not open and I was puzzled as to why NHS111 had not informed the GP to enable a same day examination as suggested. I went to a walkin centre and was sent to hospital again, subsequently seeing a consultant. There seems to be a lack of communication between NHS111 and GP practice, and the GP practice has a tendency to overuse NHS111 telling me to ring 111 when I merely ring for a GP appointment. This puts pressure on NHS111, whose call handlers have a difficult job."
479,NEAS S&C 2207 - Q2,NEAS,NEAS S&C 2207,03/10/2021,See and Convey,,1,How could we improve?,There was nothing that could have been better 
5491,NHFT 1107 - Q2,NHFT,NHFT 1107,24/12/2021,Local partnerships- MH,Adult mental health,2,What was good?,"Good rules, new way to talk to my family.  I was pleased to feel valued. "
3038,NEAS 111 1762 - Q2,NEAS,NEAS 111 1762,31/03/2022,111,,1,How could we improve?,The services arranged for me to go to an urgent care centre who arranged for me to be admitted to hospital to resolve my problem.
6562,NEAS S&C 5464 - Q1,NEAS,NEAS S&C 5464,19/07/2022,See and Convey,,4,FFT Why?,When I phoned for a ambulance on behalf of my resident I was told a emergency ambulance was going to be arrange however he had been left waiting over a full 24 hour period with a suspected hip fracture and presenting in pain I’m not happy with this and feel this should have been prioritised regarding his age he still should have been made a high priority and pain could have been more managed 
4826,NHFT 213 - Q2,NHFT,NHFT 213,08/07/2021,Local partnerships- MH,Mental health services for older people,7,What was good?,Good communication and organisation. 
7245,NEAS PTS 622 - Q2,NEAS,NEAS PTS 622,07/10/2021,PTS  - Patient Transport,,1,How could we improve?,Because timing and ambulance people very caring. 
4846,NHFT 297 - Q1,NHFT,NHFT 297,27/07/2021,Forensic,Offender health,2,What could we do better?,More time & appointments. 
82,NEAS PTS 774 - Q1,NEAS,NEAS PTS 774,30/11/2021,PTS  - Patient Transport,,1,FFT Why?,A two hour waiting time has led to health problems.
747,NEAS S&C 4494 - Q1,NEAS,NEAS S&C 4494,10/05/2022,See and Convey,,2,FFT Why?,I was having a heart attack and the ambulance took nearly 1 hour to attend 
7141,NHFT 1434 - Q1,NHFT,NHFT 1434,30/03/2022,Forensic,High secure LD,1,What could we do better?,Nothing. 
5912,NEAS 111 1792 - Q1,NEAS,NEAS 111 1792,31/03/2022,111,,2,FFT Why?,Without more resources probably nothing - shorter waiting times would be preferred.
1212,NHFT 1027 - Q2,NHFT,NHFT 1027,13/11/2021,Local partnerships- MH,Adult mental health,5,What was good?,Nothing.
7351,NEAS PTS 943 - Q2,NEAS,NEAS PTS 943,31/01/2022,PTS  - Patient Transport,,1,How could we improve?,"Caring, looked after me."
5406,NHFT 710 - Q1,NHFT,NHFT 710,30/09/2021,Forensic,High secure women's service,1,What could we do better?,Don't know
1794,NHFT 1302 - Q2,NHFT,NHFT 1302,28/02/2022,Forensic,Offender health,2,What was good?,Very nice nurses. 
676,NEAS S&C 3890 - Q2,NEAS,NEAS S&C 3890,31/03/2022,See and Convey,,1,How could we improve?,Nothing could have been improved.
6230,NEAS S&C 2633 - Q2,NEAS,NEAS S&C 2633,09/11/2021,See and Convey,,1,How could we improve?,Waiting times. Had to wait over 2 hours for my daughter who had low oxygen levels and life threatening asthma
6213,NEAS S&C 2489 - Q1,NEAS,NEAS S&C 2489,01/11/2021,See and Convey,,2,FFT Why?,Fabulous medics made my daughter feel at ease and very professional 
84,NEAS PTS 780 - Q1,NEAS,NEAS PTS 780,30/11/2021,PTS  - Patient Transport,,1,FFT Why?,Nothing.
5585,NHFT 1312 - Q1,NHFT,NHFT 1312,02/03/2022,Forensic,Offender health,2,What could we do better?,Quicker appointments. 
5017,NHFT 1052 - Q1,NHFT,NHFT 1052,10/12/2021,Community health services,South Notts,1,What could we do better?,No
4515,NEAS PTS 1183 - Q1,NEAS,NEAS PTS 1183,31/03/2022,PTS  - Patient Transport,,1,FFT Why?,I honestly can't think of anything.
4918,NHFT 608 - Q2,NHFT,NHFT 608,22/09/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"Lots of encouragement to start my life as been poorly for sometime.
The service was good/excellent"
6191,NEAS S&C 2293 - Q2,NEAS,NEAS S&C 2293,08/10/2021,See and Convey,,1,How could we improve?,Non that I can think of
2078,NEAS 111 1652 - Q1,NEAS,NEAS 111 1652,28/02/2022,111,,2,FFT Why?,The service was helpful.
6270,NEAS S&C 2973 - Q2,NEAS,NEAS S&C 2973,10/12/2021,See and Convey,,1,How could we improve?,"My only issue with this service is that patients will be taken to the closet hospital. We have had issues with Durham, we wanted to take my grandfather to the RVI as we have faith in that hospital. I feel that this should be looked into as it as it should be patient choice. Considering the RVI is only an extra 10 minutes. This does put our family off to call for an ambulance for fear we would end up at Durham. "
2028,NEAS 111 1468 - Q3,NEAS,NEAS 111 1468,28/01/2022,111,,5,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Didn't get any help what so ever 
1306,NHFT 1984 - Q2,NHFT,NHFT 1984,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What was good?,"I was impressed by the care I received and the short time it took to organised, this was contrary to care that my son received.  So I guess I was lucky that these people involved were very committed to their roles.  I hope in future that everyone gets the care I received."
434,NEAS PTS 1845 - Q1,NEAS,NEAS PTS 1845,31/08/2022,PTS  - Patient Transport,,1,FFT Why?,Nothing.
2580,NHFT 894 - Q1,NHFT,NHFT 894,24/10/2021,Community health services,Specialist Services and CYP,2,What could we do better?,Allow friends/family in the room. 
1523,NHFT 302 - Q2,NHFT,NHFT 302,27/07/2021,Forensic,Offender health,1,What was good?,The good things was when you said you will do something you did it and when you said you would be round you was.
5777,NEAS 111 1297 - Q1,NEAS,NEAS 111 1297,02/12/2021,111,,3,FFT Why?,Obviously it’s not your fault that you are so busy   
356,NEAS PTS 1605 - Q1,NEAS,NEAS PTS 1605,30/06/2022,PTS  - Patient Transport,,1,FFT Why?,Nothing.
2299,NEAS 111 2477 - Q1,NEAS,NEAS 111 2477,31/07/2022,111,,1,FFT Why?,In my case - nothing really. It was awkward. Because of the jubilee holiday weekend. No other service was available.
7836,NEAS S&C 4454 - Q1,NEAS,NEAS S&C 4454,03/05/2022,See and Convey,,5,FFT Why?,90 mins wait turned into over 2 hours plus and when you have chest pains it's nut the best scenario to be in at the time however I do appreciate how busy it was as when I finally arrived at the A&E there were 13 ambulances waiting to be be booked in befor
3106,NEAS 111 2011 - Q3,NEAS,NEAS 111 2011,10/05/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",They where just do sympathetic ti my issue 
6062,NEAS 111 2349 - Q2,NEAS,NEAS 111 2349,12/07/2022,111,,1,How could we improve?,An appointment was made for me. I felt listened to.
7086,NHFT 1243 - Q2,NHFT,NHFT 1243,15/02/2022,Forensic,High secure PD pathway,2,What was good?,"I personally found the C.R.B, gym and fresh air walks a significant benefit in my own personal treatment pathway.  Education and recovery were a benefit as well.  I must say most of my improvement has been working with our activity co-ordinator who is very enthusiastic and a joy to work with. "
1781,NHFT 1255 - Q2,NHFT,NHFT 1255,15/02/2022,Forensic,Offender health,1,What was good?,Polite staff and very helpful. 
5964,NEAS 111 1982 - Q3,NEAS,NEAS 111 1982,03/05/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",They where just brilliant
4976,NHFT 872 - Q2,NHFT,NHFT 872,24/10/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,Confidence in contacts.  Regular catch ups.  Supported us when needed. 
3797,NEAS S&C 2199 - Q2,NEAS,NEAS S&C 2199,10/03/2021,See and Convey,,3,How could we improve?,Got the ambulance there quicker
6231,NEAS S&C 2642 - Q1,NEAS,NEAS S&C 2642,09/11/2021,See and Convey,,1,FFT Why?,They were spot on.
2824,NHFT 1812 - Q1,NHFT,NHFT 1812,16/05/2022,Local partnerships- MH,Mental health services for older people,4,What could we do better?,"Tell me what you are trying to achieve.
Keep me better informed about appointments.
Take an interest."
4404,NEAS PTS 850 - Q1,NEAS,NEAS PTS 850,31/12/2021,PTS  - Patient Transport,,2,FFT Why?,"Not really, but I thought I would have had a scan on my head. Big lump like an eggs. Also I have an aneurysm in my head."
7824,NEAS S&C 2727 - Q2,NEAS,NEAS S&C 2727,30/11/2021,See and Convey,,2,How could we improve?,The system never told the hospital my daughter had covid and needed a test done for this. They refused to do a test unless admitted. We were there all day and eventually she got a test and was positive 
6201,NEAS S&C 2378 - Q2,NEAS,NEAS S&C 2378,17/10/2021,See and Convey,,1,How could we improve?,"More ambulances, more paramedics, quicker response."
3534,NEAS PTS 1191 - Q2,NEAS,NEAS PTS 1191,31/03/2022,PTS  - Patient Transport,,1,How could we improve?,Fall.
7610,NEAS PTS 1735 - Q2,NEAS,NEAS PTS 1735,31/07/2022,PTS  - Patient Transport,,1,How could we improve?,Staff were very helpful and cheery - nothing was a problem.
959,NEAS S&C 6296 - Q1,NEAS,NEAS S&C 6296,14/09/2022,See and Convey,,1,FFT Why?,The ambulance people were so kind and concerned as I’m old. Couldn’t make any complaints. 
3137,NEAS 111 2125 - Q2,NEAS,NEAS 111 2125,31/05/2022,111,,1,How could we improve?,Prompt response - clear advice.
7853,NEAS PTS 819 - Q1,NEAS,NEAS PTS 819,16/12/2021,PTS  - Patient Transport,,1,FFT Why?,better suspension on ambulances to cope with our rough roads.
6868,NHFT 502 - Q2,NHFT,NHFT 502,08/09/2021,Forensic,Offender health,1,What was good?,Getting negative thought out of my mind. 
7467,NEAS PTS 1300 - Q2,NEAS,NEAS PTS 1300,30/04/2022,PTS  - Patient Transport,,1,How could we improve?,Because they helped and supported my husband to the department he needed to attend. Also didn’t have to wait long for return travel.
6311,NEAS S&C 3322 - Q1,NEAS,NEAS S&C 3322,31/01/2022,See and Convey,,1,FFT Why?,"They were very good, when I needed them at the time."
2843,NEAS 111 1043 - Q3,NEAS,NEAS 111 1043,07/10/2021,111,,2,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Satisfied. 
7036,NHFT 1191 - Q2,NHFT,NHFT 1191,28/01/2022,Local partnerships- MH,Prescribed services,1,What was good?,Providing special care for my wife and child together round the clock. 
4342,NEAS PTS 661 - Q1,NEAS,NEAS PTS 661,31/10/2021,PTS  - Patient Transport,,1,FFT Why?,Nothing.
3856,NEAS S&C 2701 - Q1,NEAS,NEAS S&C 2701,11/30/2021,See and Convey,,1,FFT Why?,Call and ambulance men brilliant. Just took too long to arrive.
490,NEAS S&C 2301 - Q1,NEAS,NEAS S&C 2301,08/10/2021,See and Convey,,1,FFT Why?,I am a nurse and required emergency ambulance for my patient. Excellent response and support from call handler also 
1320,NHFT 1254 - Q2,NHFT,NHFT 1254,15/02/2022,Forensic,Offender health,1,What was good?,Straight to the point and direct. 
5870,NEAS 111 1638 - Q1,NEAS,NEAS 111 1638,28/02/2022,111,,2,FFT Why?,I had a kidney infection and was on anti sickness and antibiotics but was still running temperature - was told needed to be put on heart monitor and may need antibiotic drip.
3322,NEAS PTS 546 - Q2,NEAS,NEAS PTS 546,30/09/2021,PTS  - Patient Transport,,1,How could we improve?,"The car drivers are very helpful, courteous and friendly."
2521,NHFT 614 - Q1,NHFT,NHFT 614,22/09/2021,Local partnerships- MH,Substance misuse services,1,What could we do better?,GP staff working with this service closer. 
4251,NEAS S&C 6067 - Q1,NEAS,NEAS S&C 6067,8/30/2022,See and Convey,,1,FFT Why?,I didn’t have to wait very long before the ambulance arrived and the paramedics were very sympathetic and professional and got me to hospital very quickly. Excellent service  
3923,NEAS S&C 3270 - Q2,NEAS,NEAS S&C 3270,1/29/2022,See and Convey,,1,How could we improve?,111 is not fit for purpose.....
6982,NHFT 1031 - Q2,NHFT,NHFT 1031,17/11/2021,Local partnerships- MH,Adult mental health,4,What was good?,My CPN leaving and getting a new one. Exploring new medication options that have helped me a lot. Really nice staff on reception who were always kind and friendly.
31,NEAS PTS 621 - Q1,NEAS,NEAS PTS 621,07/10/2021,PTS  - Patient Transport,,1,FFT Why?,Isn't any. 
6068,NEAS 111 2371 - Q2,NEAS,NEAS 111 2371,19/07/2022,111,,1,How could we improve?,The out come posive however could have been streamlined 4 people involved before outcome achieved 
7768,NEAS 111 997 - Q1,NEAS,NEAS 111 997,30/09/2021,111,,5,FFT Why?,Listen to us. Check record to see if patient rarely contacts 111 then realise maybe help is needed!
1251,NHFT 1142 - Q1,NHFT,NHFT 1142,20/01/2022,Local partnerships- MH,Adult mental health,1,What could we do better?,Less restrictions. 
3055,NEAS 111 1824 - Q3,NEAS,NEAS 111 1824,04/04/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",The service was calm and considerate and so helpful. 
5088,NHFT 1940 - Q1,NHFT,NHFT 1940,01/02/2022,Local partnerships- MH,Adult mental health,7,What could we do better?,"Everything.
Waiting, waiting, waiting!  Sent round and round in circles.  Been going on for years and year.  Latest news - I'm on a waiting list, expected waiting time 17 months.  Too long - I'll be dead by then!  Thanks."
3928,NEAS S&C 3313 - Q1,NEAS,NEAS S&C 3313,1/31/2022,See and Convey,,3,FFT Why?,Doctor would not visit and told us to use ambulance.
731,NEAS S&C 4358 - Q1,NEAS,NEAS S&C 4358,30/04/2022,See and Convey,,1,FFT Why?,"Friendly, caring staff."
5956,NEAS 111 1953 - Q2,NEAS,NEAS 111 1953,30/04/2022,111,,1,How could we improve?,Put mind at ease.
1081,NHFT 443 - Q1,NHFT,NHFT 443,14/08/2021,Community health services,Nottingham West,1,What could we do better?,Nothing!
3485,NEAS PTS 1041 - Q2,NEAS,NEAS PTS 1041,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,They were very good.
6846,NHFT 441 - Q2,NHFT,NHFT 441,12/08/2021,Unknown,Unknown,1,What was good?,"Initially only referred for a fire alarm to be fitted, but following an assessment occupational health have offered a lot of advice, and a referral regarding memory problems."
6444,NEAS S&C 4452 - Q2,NEAS,NEAS S&C 4452,03/05/2022,See and Convey,,2,How could we improve?,Been more flexible with how I was trying to describe the amount of blood there was.
3116,NEAS 111 2048 - Q2,NEAS,NEAS 111 2048,24/05/2022,111,,2,How could we improve?,Eventually talked to Doc after two chats with others who did not help enough 
751,NEAS S&C 4528 - Q1,NEAS,NEAS S&C 4528,10/05/2022,See and Convey,,5,FFT Why?,"Paramedic made it as though my wife wasn't poorly.  She had to insist on going to hospital (this really did not please him). Told her it was most probably a trapped nerve. Thank god my wife told me to insist on going to hospital. Another hour to wait for ambulance.  Turned out she had an upper arm DVT. I will be putting in a complaint, if had had listened, my wife could of died."
5164,NHFT 1448 - Q1,NHFT,NHFT 1448,31/03/2022,Community health services,South Notts,2,What could we do better?,"Spend more time with the patients if possible
Make an improvement on choice of food - very repetitive"
3605,NEAS PTS 1404 - Q2,NEAS,NEAS PTS 1404,31/05/2022,PTS  - Patient Transport,,2,How could we improve?,"Were here quickly dealt with problem quickly, got my husband to hospital were good to me."
391,NEAS PTS 1713 - Q1,NEAS,NEAS PTS 1713,31/07/2022,PTS  - Patient Transport,,2,FFT Why?,Nothing. Everything perfect.
2168,NEAS 111 1989 - Q2,NEAS,NEAS 111 1989,03/05/2022,111,,1,How could we improve?,They have always helped and very polite 
2807,NHFT 1607 - Q1,NHFT,NHFT 1607,18/04/2022,Forensic,Wathwood,1,What could we do better?,Consistency in relaying information across the board of mental health practitioners and patients. 
1124,NHFT 599 - Q1,NHFT,NHFT 599,21/09/2021,Local partnerships- MH,Mental health services for older people,2,What could we do better?,Nothing to add. 
3085,NEAS 111 1934 - Q3,NEAS,NEAS 111 1934,30/04/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Reassurance.
1157,NHFT 707 - Q2,NHFT,NHFT 707,30/09/2021,Forensic,High secure women's service,1,What was good?,"I like it at Rampton, I don't want to leave.  I love the DRC & horticulture to see the animals. "
3892,NEAS S&C 3007 - Q1,NEAS,NEAS S&C 3007,12/14/2021,See and Convey,,1,FFT Why?,"The lady on the phone was understanding, helpful and gave us a lot of info and freindly and caring this heled my mum"
576,NEAS S&C 3032 - Q1,NEAS,NEAS S&C 3032,31/12/2021,See and Convey,,1,FFT Why?,The ambulance staff were professional and friendly. I phoned for help at the right time so there was an ambulance in the area.
1746,NHFT 1897 - Q1,NHFT,NHFT 1897,01/02/2022,Local partnerships- MH,Adult mental health,7,What could we do better?,Everything.  I have been trying to get hold of a team leader for 3 months.  I have left over 15 messages and heard nothing.  I am making a formal complaint.  Musters Road Mental Health team is the worst NHS service I have ever encountered.
4347,NEAS PTS 676 - Q1,NEAS,NEAS PTS 676,31/10/2021,PTS  - Patient Transport,,1,FFT Why?,Nothing.
2616,NHFT 1216 - Q2,NHFT,NHFT 1216,14/12/2021,Local partnerships- MH,Prescribed services,5,What was good?,Nothing.
2400,NHFT 103 - Q2,NHFT,NHFT 103,02/07/2021,Local partnerships- MH,Mental health services for older people,2,What was good?,"Made stay pleasant.
Staff helpful. "
4373,NEAS PTS 754 - Q1,NEAS,NEAS PTS 754,30/11/2021,PTS  - Patient Transport,,2,FFT Why?,[illegible] was very slow. I was answered after about 30 mins but only to be put to another queue. It was 1 hour before I made my booking.
1026,NHFT 172 - Q2,NHFT,NHFT 172,07/07/2021,Community health services,Specialist services,1,What was good?,"My feet are so important, its wonderful to have them checked an cared for.
The service is excellent. "
1489,NHFT 181 - Q2,NHFT,NHFT 181,07/07/2021,Community health services,Specialist services,1,What was good?,The fact I was able to have my feet done again after such a long break.
7090,NHFT 1259 - Q2,NHFT,NHFT 1259,15/02/2022,Forensic,Offender health,2,What was good?,"I got what I needed to make a difference with my attention span and help me focus on a task at hand,  so I can concentrate when I'm doing a course. "
333,NEAS PTS 1536 - Q1,NEAS,NEAS PTS 1536,31/05/2022,PTS  - Patient Transport,,4,FFT Why?,Better communication facilities.
3148,NEAS 111 2165 - Q3,NEAS,NEAS 111 2165,31/05/2022,111,,2,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Good.
2431,NHFT 233 - Q1,NHFT,NHFT 233,12/07/2021,Community health services,Specialist services,1,What could we do better?,"Nothing, all good."
2841,NEAS 111 1036 - Q2,NEAS,NEAS 111 1036,07/10/2021,111,,1,How could we improve?,"I find at the age of 89, it is a great help to me and makes it much easier. "
4077,NEAS S&C 4588 - Q1,NEAS,NEAS S&C 4588,5/17/2022,See and Convey,,1,FFT Why?,Very efficient and prompt. 
1414,NHFT 1605 - Q1,NHFT,NHFT 1605,18/04/2022,Forensic,Wathwood,2,What could we do better?,More staff. 
7642,NEAS PTS 1831 - Q2,NEAS,NEAS PTS 1831,31/08/2022,PTS  - Patient Transport,,1,How could we improve?,Excellent.
7494,NEAS PTS 1381 - Q2,NEAS,NEAS PTS 1381,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,Staff very good.
952,NEAS S&C 6236 - Q2,NEAS,NEAS S&C 6236,14/09/2022,See and Convey,,1,How could we improve?,We were more than satisfied with the service.
2414,NHFT 158 - Q2,NHFT,NHFT 158,07/07/2021,Community health services,Rushcliffe,1,What was good?,"Can't fault this place.
My daughter takes me into the garden - it is lovely.
Re-hab - physio is good. "
4098,NEAS S&C 4766 - Q2,NEAS,NEAS S&C 4766,5/31/2022,See and Convey,,1,How could we improve?,Everything was excellent.
4192,NEAS S&C 5565 - Q2,NEAS,NEAS S&C 5565,7/27/2022,See and Convey,,7,How could we improve?,Everything was brilliant 
7786,NEAS 111 1761 - Q2,NEAS,NEAS 111 1761,31/03/2022,111,,1,How could we improve?,I could not fault the quality of staff operating this system.
3281,NEAS 111 2653 - Q2,NEAS,NEAS 111 2653,14/09/2022,111,,1,How could we improve?,The call handl was very sympathetic to the fact that I was unwell. Came across very kind. Didn’t have to wait long for them to answer and when the on call doctor rang me back very quickly as well. 
1270,NHFT 1832 - Q2,NHFT,NHFT 1832,01/02/2022,Local partnerships- MH,Adult mental health,7,What was good?,"I have only rung the crisis team once in the last 12 months, they were very helpful and arranged for me to speak to someone straight away."
7358,NEAS PTS 964 - Q2,NEAS,NEAS PTS 964,31/01/2022,PTS  - Patient Transport,,1,How could we improve?,Efficient and effective service.
6649,NEAS S&C 6212 - Q1,NEAS,NEAS S&C 6212,07/09/2022,See and Convey,,1,FFT Why?,Swift professional approach 
3401,NEAS PTS 786 - Q2,NEAS,NEAS PTS 786,30/11/2021,PTS  - Patient Transport,,1,How could we improve?,Prompt arrival and collection. Kind and caring assistance.
6426,NEAS S&C 4299 - Q2,NEAS,NEAS S&C 4299,26/04/2022,See and Convey,,1,How could we improve?,Waiting time of about one hour felt a long time though I appreciate the service is under pressure 
1991,NEAS 111 1325 - Q3,NEAS,NEAS 111 1325,10/12/2021,111,,5,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Assessing an injury without being able to visually see what the injury is. Poor. I may as well of went on Google myself 
1049,NHFT 261 - Q2,NHFT,NHFT 261,14/07/2021,Community health services,Children and young people,1,What was good?,Very well with daughter
6624,NEAS S&C 5999 - Q2,NEAS,NEAS S&C 5999,24/08/2022,See and Convey,,5,How could we improve?,Been patient and understanding to our companies policy 
1118,NHFT 573 - Q2,NHFT,NHFT 573,15/09/2021,,,1,What was good?,Very clear explanation of my father diagnosis from nurse J0.
7404,NEAS PTS 1108 - Q2,NEAS,NEAS PTS 1108,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,Always a great experience. Drivers are all very good.
7856,NEAS PTS 1704 - Q1,NEAS,NEAS PTS 1704,31/07/2022,PTS  - Patient Transport,,1,FFT Why?,Ambulances could do with a little foldaway step under the seats for short legged folk like me.
2412,NHFT 150 - Q2,NHFT,NHFT 150,07/07/2021,Local partnerships- MH,Mental health services for older people,2,What was good?,"I have seen a lot of different people and doctors, most were helpful and understanding. "
4178,NEAS S&C 5446 - Q2,NEAS,NEAS S&C 5446,7/19/2022,See and Convey,,1,How could we improve?,Nothing. Exceptional 
4227,NEAS S&C 5863 - Q1,NEAS,NEAS S&C 5863,08/09/2022,See and Convey,,1,FFT Why?,Prompt and very helpful response.
3910,NEAS S&C 3160 - Q1,NEAS,NEAS S&C 3160,1/18/2022,See and Convey,,1,FFT Why?,"The paramedic arrived within 25 minutes and assessed my wife. He then transported her to A&E at North Tees Hospital. The speed of the response and the paramedics approach was excellent. During my initial 999 call the call handler told me that the service was busy and an ambulance could take up to 90 minutes to respond, so the speed of the service was a huge relief"
